"Mask($close/Ref($close,1)-1,'SH000300')","Mask(Mean($close/Ref($close,1)-1,5),'SH000300')","Mask(Std($close/Ref($close,1)-1,5),'SH000300')","Mask(Mean($amount,5)/$amount,'SH000300')","Mask(Std($amount,5)/$amount,'SH000300')","Mask(Mean($close/Ref($close,1)-1,10),'SH000300')","Mask(Std($close/Ref($close,1)-1,10),'SH000300')","Mask(Mean($amount,10)/$amount,'SH000300')","Mask(Std($amount,10)/$amount,'SH000300')","Mask(Mean($close/Ref($close,1)-1,20),'SH000300')","Mask(Std($close/Ref($close,1)-1,20),'SH000300')","Mask(Mean($amount,20)/$amount,'SH000300')","Mask(Std($amount,20)/$amount,'SH000300')","Mask(Mean($close/Ref($close,1)-1,30),'SH000300')","Mask(Std($close/Ref($close,1)-1,30),'SH000300')","Mask(Mean($amount,30)/$amount,'SH000300')","Mask(Std($amount,30)/$amount,'SH000300')","Mask(Mean($close/Ref($close,1)-1,60),'SH000300')","Mask(Std($close/Ref($close,1)-1,60),'SH000300')","Mask(Mean($amount,60)/$amount,'SH000300')","Mask(Std($amount,60)/$amount,'SH000300')","Mask($close/Ref($close,1)-1,'SH000905')","Mask(Mean($close/Ref($close,1)-1,5),'SH000905')","Mask(Std($close/Ref($close,1)-1,5),'SH000905')","Mask(Mean($amount,5)/$amount,'SH000905')","Mask(Std($amount,5)/$amount,'SH000905')","Mask(Mean($close/Ref($close,1)-1,10),'SH000905')","Mask(Std($close/Ref($close,1)-1,10),'SH000905')","Mask(Mean($amount,10)/$amount,'SH000905')","Mask(Std($amount,10)/$amount,'SH000905')","Mask(Mean($close/Ref($close,1)-1,20),'SH000905')","Mask(Std($close/Ref($close,1)-1,20),'SH000905')","Mask(Mean($amount,20)/$amount,'SH000905')","Mask(Std($amount,20)/$amount,'SH000905')","Mask(Mean($close/Ref($close,1)-1,30),'SH000905')","Mask(Std($close/Ref($close,1)-1,30),'SH000905')","Mask(Mean($amount,30)/$amount,'SH000905')","Mask(Std($amount,30)/$amount,'SH000905')","Mask(Mean($close/Ref($close,1)-1,60),'SH000905')","Mask(Std($close/Ref($close,1)-1,60),'SH000905')","Mask(Mean($amount,60)/$amount,'SH000905')","Mask(Std($amount,60)/$amount,'SH000905')","Mask($close/Ref($close,1)-1,'SH000906')","Mask(Mean($close/Ref($close,1)-1,5),'SH000906')","Mask(Std($close/Ref($close,1)-1,5),'SH000906')","Mask(Mean($amount,5)/$amount,'SH000906')","Mask(Std($amount,5)/$amount,'SH000906')","Mask(Mean($close/Ref($close,1)-1,10),'SH000906')","Mask(Std($close/Ref($close,1)-1,10),'SH000906')","Mask(Mean($amount,10)/$amount,'SH000906')","Mask(Std($amount,10)/$amount,'SH000906')","Mask(Mean($close/Ref($close,1)-1,20),'SH000906')","Mask(Std($close/Ref($close,1)-1,20),'SH000906')","Mask(Mean($amount,20)/$amount,'SH000906')","Mask(Std($amount,20)/$amount,'SH000906')","Mask(Mean($close/Ref($close,1)-1,30),'SH000906')","Mask(Std($close/Ref($close,1)-1,30),'SH000906')","Mask(Mean($amount,30)/$amount,'SH000906')","Mask(Std($amount,30)/$amount,'SH000906')","Mask(Mean($close/Ref($close,1)-1,60),'SH000906')","Mask(Std($close/Ref($close,1)-1,60),'SH000906')","Mask(Mean($amount,60)/$amount,'SH000906')","Mask(Std($amount,60)/$amount,'SH000906')",sentiment_response,average_sentiment,comment_count
-0.20213476,-0.30327132,-1.1217197,1.3666025,2.090786,0.18872966,-1.0890276,0.7691642,0.8300449,-0.08265948,-1.2255739,0.14218862,0.042685904,0.08259233,-1.375542,-0.2046182,-0.08734668,0.38870952,-1.7774535,-0.5185459,-0.40601853,-0.8972987,-0.5725378,-0.40144268,1.036974,1.5441252,0.1183284,-0.5942053,0.4957644,0.3516416,-0.30637503,-0.99518526,-0.05429637,-0.12346848,-0.08918449,-1.1987305,-0.3065086,-0.3667321,0.12125417,-1.4154706,-0.6036023,-0.39323223,-0.44080603,-0.41937128,-0.91394746,1.2895645,1.8495413,0.16091926,-0.9318429,0.7003146,0.67914313,-0.16102748,-1.12446,0.06871786,-0.007701036,0.021500384,-1.2827462,-0.25498018,-0.1827444,0.3428845,-1.8041488,-0.5611824,-0.39442953,-0.7,0.0002362948960302,2116
-0.47482598,-0.5727459,-1.244642,0.6154709,1.5660706,-0.059109848,-1.0758284,0.73540616,0.3578384,0.00096074585,-1.2909814,0.05706084,-0.025573911,0.04509663,-1.3633422,-0.24609196,-0.19360213,0.33960357,-1.7670468,-0.55681646,-0.45311585,-0.53842443,-0.99335957,-0.78869855,0.87336266,0.36554626,-0.07129473,-0.56706077,1.023622,0.33692893,-0.26330477,-1.0168077,0.2790646,0.08208268,-0.18259896,-1.1891515,-0.0345345,-0.20412411,0.16998753,-1.4416635,-0.40182936,-0.22961451,-0.49677935,-0.7514657,-1.1468285,0.7525378,1.155004,-0.07400885,-0.9098799,0.9167226,0.37158915,-0.08890744,-1.1738293,0.16664088,0.04485527,-0.03745282,-1.268304,-0.15912415,-0.16697963,0.32554877,-1.797935,-0.49208093,-0.35454127,-0.5,0.0,1732
-0.46846777,-0.656856,-1.2397848,-0.09358379,-1.7292813,-0.4985931,-1.4452041,0.59876066,0.4369855,-0.0931038,-1.2715354,0.08309546,-0.11181906,-0.09109936,-1.3644731,-0.22524585,-0.23635219,0.2983583,-1.757515,-0.57060724,-0.48635623,-0.8661579,-1.063457,-0.7596272,0.1025827,-1.03273,-0.6801249,-0.9526225,0.685123,0.34279886,-0.4342596,-0.9766104,0.13655852,-0.14896634,-0.40102726,-1.192371,-0.16279195,-0.31264317,0.2884804,-1.5736606,-0.497908,-0.318752,-0.6080845,-0.8333507,-1.1277512,-0.016741095,-1.5809077,-0.5865766,-1.3155318,0.68607426,0.43459907,-0.21191868,-1.1469016,0.12137114,-0.109552205,-0.20835577,-1.2701905,-0.20155896,-0.24219158,0.33760354,-1.8048652,-0.54223645,-0.4048687,-0.5,0.0,2507
0.37091148,-0.5580567,-1.0640017,-0.39516753,-1.7268165,-0.45984247,-1.4037331,0.27519357,0.31987953,-0.09787373,-1.273863,-0.09211408,-0.28397027,-0.0596414,-1.3559225,-0.35679483,-0.3960025,0.31986082,-1.7533917,-0.6679376,-0.58857816,-0.14551435,-1.2378893,-1.106897,0.31677064,-0.8970132,-0.7457291,-0.9839086,0.8254072,0.6126782,-0.47630098,-0.98345715,0.32351586,-0.1850573,-0.41541943,-1.1933945,-0.032177053,-0.24307804,0.22211297,-1.5865258,-0.39339054,-0.2627515,0.21357755,-0.82466346,-1.1109011,-0.13508248,-1.6004237,-0.58328384,-1.3126738,0.5403133,0.46963966,-0.22934765,-1.153313,0.09110025,-0.22524214,-0.19184794,-1.2668768,-0.22562158,-0.30948946,0.33017477,-1.8063797,-0.55777293,-0.45420092,-0.5,0.0,1609
0.10047777,-0.25407386,-1.156693,0.36803934,-1.3007483,-0.44713646,-1.3970248,0.9969867,0.99274164,-4.972408e-05,-1.2910825,0.5067525,0.12618235,-0.019637791,-1.356373,0.16183451,-0.10760441,0.29895595,-1.7564888,-0.30018193,-0.3312557,-0.6434565,-1.0797282,-1.2185735,1.6382788,0.3299433,-0.9412845,-1.017259,2.138195,2.1643384,-0.5419241,-0.96714985,1.4359745,0.6670995,-0.4517462,-1.1820158,0.8581283,0.39500716,0.18325743,-1.5734596,0.2704142,0.28883865,-0.14355613,-0.5579378,-1.2298119,0.8635612,-0.7837601,-0.6431894,-1.3375198,1.5232099,1.4949911,-0.18427524,-1.1625437,0.9039434,0.35334942,-0.17707811,-1.2685502,0.43571493,0.1251971,0.30210412,-1.8060522,-0.06223213,-0.06577275,0.2,0.0002790298347284,1553
-0.9476654,-0.5218259,-0.89953816,-0.037244037,-1.3432258,-0.60550785,-1.2554836,0.50711274,0.81609774,-0.21578325,-1.2190446,0.24845105,-0.06554706,-0.07159552,-1.3213158,-0.028157722,-0.3332794,0.23590927,-1.7241788,-0.4350081,-0.49023524,-1.9546546,-1.4815263,-0.51428956,0.5790446,0.035840433,-1.3939724,-0.6485418,1.308744,1.9580762,-0.9096363,-0.7381091,0.9624246,0.5185641,-0.6312407,-1.0059577,0.5272794,0.13721752,0.021523878,-1.4296492,0.04270364,-0.00041998443,-1.3102845,-0.8793106,-0.8113359,0.19621548,-0.8492246,-0.908756,-1.091195,0.8772616,1.3030634,-0.45691523,-1.0396013,0.55572927,0.1700776,-0.2755079,-1.1922565,0.19197957,-0.13096263,0.20252293,-1.7384678,-0.2371993,-0.29211637,,0.0,3607
0.21794264,-0.27302295,-0.8527177,0.59885126,-0.7843199,-0.6206744,-1.2684762,0.90994626,0.78073484,-0.29680085,-1.2672025,0.7682204,0.3723711,-0.03782268,-1.317453,0.4716884,-0.12362027,0.1935518,-1.7384553,-0.08171953,-0.26979467,0.14270042,-1.222697,-0.27359962,0.74554235,0.33200148,-1.506888,-0.78567463,1.2277246,0.95081586,-0.9323738,-0.74812317,1.2149131,0.8921795,-0.60727453,-1.0005043,0.78447336,0.28741142,-0.048606373,-1.4610659,0.24227238,0.10511321,0.2109604,-0.61771894,-0.680384,0.6911598,-0.37430242,-0.9592278,-1.1457311,1.1106653,0.87831473,-0.52032715,-1.0734929,0.99257296,0.6008802,-0.24401096,-1.1874045,0.60313314,0.06491173,0.14868894,-1.7599072,0.071305305,-0.0945037,-1.0,0.0,1498
0.07460937,-0.07798067,-0.8977574,-0.5608772,-0.94802946,-0.539285,-1.2488573,-0.39279166,-1.6453717,-0.22539912,-1.2706515,-0.056781955,-0.17641963,-0.13813898,-1.357672,-0.2067563,-0.59018636,0.18032722,-1.7399181,-0.5599555,-0.65247804,0.07189168,-0.86623585,-0.16770168,-0.21976021,-0.47642368,-1.3072805,-0.7112274,0.36835626,-0.23948449,-0.83584917,-0.73796797,0.70892394,0.61896116,-0.6787557,-1.0316715,0.39929184,0.022484671,-0.09052164,-1.4736096,-0.0259892,-0.18484297,0.08880989,-0.36013594,-0.6812642,-0.46200153,-0.7726498,-0.83344835,-1.1061339,-0.09092137,-1.2202375,-0.43843475,-1.0722377,0.25550488,0.12677601,-0.33811212,-1.2259519,0.028118132,-0.3579535,0.12500636,-1.7643119,-0.34762555,-0.4864312,-0.3,0.0,1097
0.0053755287,-0.2092603,-0.9782271,-0.6892819,-0.9589719,-0.56311536,-1.2596838,-0.49850377,-1.6520872,-0.18113181,-1.2732453,-0.09851517,-0.3655953,-0.12687191,-1.3575649,-0.2529167,-0.70036834,0.1832584,-1.7399462,-0.5929881,-0.72361296,0.07105602,-0.7839385,-0.11631683,-1.4254528,-0.14790112,-1.3715024,-0.77379733,-0.67449075,-0.6098659,-0.7662097,-0.72784966,-0.15314476,-0.12301613,-0.62777025,-1.026304,-0.3056885,-0.5156345,-0.06291389,-1.4725821,-0.5464604,-0.67449075,0.041334633,-0.4237996,-0.7211331,-1.0265744,-0.66635734,-0.8728051,-1.1344684,-0.58195865,-1.3023487,-0.38447398,-1.0708035,-0.11359064,-0.27921927,-0.3124061,-1.2248241,-0.27986825,-0.642161,0.13642795,-1.7642374,-0.5771685,-0.72707,-1.0,0.0,1769
-0.21453246,-0.32239398,-1.0020807,0.27530128,-0.71237844,-0.42309198,-1.3394641,0.23787452,-1.430327,-0.19201052,-1.2717478,0.58828574,0.05245964,-0.18017222,-1.3581926,0.34074345,-0.42316905,0.13595015,-1.7410231,-0.16264088,-0.49191335,0.11277042,-0.49657038,-0.06894888,0.44656003,0.3227376,-1.06095,-0.75368226,0.5400211,-0.25063598,-0.687073,-0.7166776,1.0152968,0.78995925,-0.5819823,-1.0197046,0.6744908,0.081515685,-0.056647364,-1.4716492,0.19106665,-0.18144791,-0.09406455,-0.40550676,-0.71767586,0.3598755,-0.36188275,-0.6687648,-1.2000667,0.3968228,-1.0425684,-0.36542878,-1.0712146,0.79717463,0.3441817,-0.3328621,-1.2260317,0.47886005,-0.22846106,0.104959235,-1.7664242,-0.0012301554,-0.37376142,0.05,0.0,849
